,text,label_f,label_h,label_s
1186,buuma paaya tasviira paamcha saala puraa isama raamadeva ke dikha raha mahila kaimsara piiita,1,0,0
1886,salman bhai  i lovee uuu tumharee liyeee jan bvi dee dengeee,1,0,0
183,buuma paaya viidiya nyuuyrka shuuta riya jo vaala daava r,1,0,1
1444,tasviira dikha raha mahila asiaa ramaaana amtara islaamika steta ke ugravaada dvaara maara chuka asiaa vaaii pija,1,0,0
3626,please salman tu to janta hai k tere page pe kese kese log hai chiiiii aap ek reply do na please,1,0,1
1965,ha pata hai jab  zihadi terror me ek cm ban jaye to baki  ke against jane me kootniti apnani padti hai,1,0,0
1060,anjeer tukray kar k pao doodh men ubal k thanda kar k daily sonay se pehle khaya karen,1,0,1
3963,inki ragon mai wahii khoon hai jo aatankion ki mai hai jab opposition m hoti h to khud b gun uthaane ki baat krti,1,0,1
335,aur us ek gang ke upar bhee ilzam hai  ilzam politically motivated ho saka haiislamic terrorism worldwide hai,1,0,0
1282,huuurrrrrrrr salman khan teri aisi ki tesi aur teri movie ki bhi,1,0,0
71,buuma paaya plekaarda tasviira shabda badala haim,1,0,0
2105,sare logo se ke hogi bat,1,0,1
1350,teri maa ka rape  talibaniyo ne kiyachudwate chudwate mar gayi wo,0,0,1
107,desh gourav badha rahe ho ayushman bhav,0,0,0
947,bhaijan eid mubarak,0,0,1
2668,salman khan on instagram,1,0,1
1074,buuma paaya vaayarala diya chennaii ke rthopedishiyana d samtosha jaikaba rikrda hai,1,0,0
3208, myogiadityanath  narendramodi gang rape or rape karne walo k liye ek hi sazaa  unka ling kaat dia jaay tabhi yeh sab mamle band honge,1,0,0
708,kay kahna chah rahi ho,0,0,1
3274,sahi kaha apne sir magar kya kare ye india hai yaha logo ko career banana hai jab india k andar rape murder hote hai tab bhi awaj nahi ati h,0,0,0
1159,salman mere jaan muuuhhhhhhaaa,1,0,0
19,bhaarata ke pramukha janarala emaema naravana kaha paakistaana chiina mila bhaarata ke khatara paida saka,0,0,1
4256,kya hate dekha nahi kya rohan was saying both were wrong usne lopa ko apne tarike se samjhaya fir bani ko bola,1,0,0
3468,es i love ka ryply tab tak ayga jab tak tum kuch nhi khta,1,0,1
1867,beta capslock main allah ka naam likh kar agar apney liye dua maangi hoti tou zindagi main kamyab hotey aur nafrat k liye fursat nah hoti   https  twittercom gharlejaa status ,0,0,1
3601,lovee uuuu saluuuu,1,0,0
426,britena yuuropiiya samgha ke postabregjita treda diila ke britena bhaarata sahita duusara desha ke phra treda maarga prashasta gaya,0,0,0
198,joy hind  varot mata ki joy,0,0,0
126,mulle sirf terrorism ko invent karne ke liye jeet sakte hai,1,0,0
2263,ha ha abhi kisko dekh rhe ho sanatan rashtra ke shudra ji tumhari drama baji ka samaye poora ho gyaye  varsh purani kathaye sunakar vartman me dalito ki hatyaye aor rape krne ka logic dekar tumko shram nhi aati,0,1,0
1585,nigahata abbaasa dvaara vipaksha aajaaada jaapa viidiya unaka raajaniitika sambaddha ullekha bi vaayarala,1,0,1
951,sataayara vebasaaita ke aartikala esabuka kiya gaya galata sandarbha vaayarala,1,0,1
2969,miiyan teri roz gan marte the rape ka case kiya kya,1,0,0
548,paakistaana ke karaacha dukaana jinaka naama bhaarata ke shahara dekha khaaasa riporta,0,0,1
2804,chakki ko to sanjay kapoor bhi to rape kiya tha clash meiarey chutiye chakki se to rajpal yadav bhi behtar hay rajpal y ne  flops disasters nehi di h,1,1,0
3921,show baz shareef zaror phansi pa latky ga,1,0,1
3579,pakistan jeet rahi hai chalo iftari rakh lete how much i hate this,0,1,0
1571,ye bhooosreee ka plate form per rape k nateejay mai paedaaa honay walaa haraaam zaadaa hai kon,1,0,0
307,sar in pakistanio ka kuch kijiye kuch pakistani log daily aapka naam lekar india walo ko gaaliya dete h,0,0,1
1598,jaldi aa jao salu bhaibhai aap kahan ho pm ho gayaim waiting you bajrangi bhaijnaap bahut kamaal karte ho,1,0,1
2568,rape ki saja se kahin ladkiyon ka rape and murder na hone lagefatafat saza aur jailzyada jarori hai,1,0,1
2960,haryana me pichle ek week me  rape ho chuke h or wo sab hindu h,1,0,0
4541,kala premi ji apke ankho ke samne rape bhi ho rha ho to aap standup comedy kr ke hi rapist ko sabak sikhayenge,1,0,1
1135,salam lekum bhai jaan ramdan mubarak ho aap ko,1,0,0
1632,bhi my ap ke hr movie boht shok sy dekhta ho or ap ke movie ka wait krta ho,1,0,0
1490,lagta hai jaise jamana beet gaya par  nai hone wale aaj ,1,0,1
624,i love u toooo sooooo mache salman khan,1,0,0
1697,i love you meri jan aap sah bohot piyar karty hoo,1,0,0
461,yuunivarsita pha barna buuma bata r patra ,1,0,0
1450,bada hoke fir aayega infiltrate karne and goli khane,1,0,1
664,sampaadita viidiya dilla ke mukhyamamtra aravimda kejariivaala ke vibhinna saakshaatkaara asambamdhita klipimga shaamila,1,0,0
2427,chalokuch nii bhai koi kaam me fas gye honge aap,0,0,1
1682,buuma paaya vaayarala tasviira aktuubara  bemgalura kleja dvaara vitarita adhyayana saamagra,1,0,1
1918,okk bhai jaan,1,0,1
2310,kisko jyada prefer karne wali baat nahi saaf saaf dikhta hai hes die hard hater of srk  maine to koi varuniac ko dekha nahi aisa andha hate karta ho kisiko  like kya sirf looks aur wo log ki soch to pata hai na jo jyada hit wo hamara fav aadhe to us wajah se like karte hai,0,0,0
225,mene ap ke paas mail kiya hai mughhhhhe aap se answer chahiye,1,0,1
2472,bhai jaan jago pm ho gyaa kaha ho,0,0,1
1894,tviita piila ramga tii sharta paha tajimdara bagga mera pradhaanamamtra chora kota pramota saapha taura najara aa,1,0,0
899,lov you salman,1,0,0
2732,bhaijaan thagaye hoghaey itne saare comments dekkar bhaijaan abhi online mein hai,0,0,1
1556,salman bhai ki haal chal,0,0,1
905,ek baat apki achchi nhi lgi #salman_bhai meko pta h ap bzy h bt vo baat apko pta nhi chl paegi jab tak ap meko cntct nhi krenge m apni baat v clear nhi kr paunga,1,0,0
296,saare jahan se achha hindustaa hamara,0,0,0
2821,ek rapist mla ka naam bata do jo aap mein hai  aur haan sandip kumar ka naam lene se pehle rape aur consensual sex mein difference pata kar lena aur ye bhi ki usko party se nikal diya gaya h  nihalchand bjp mein barkarar hai abhi tak,1,0,0
2612,bhaijan ke kamar pe dard hn doctero ne araam karne ko bola hn ok frendz,1,0,1
842,kya be bhagwa bhandgarib mahilao se blatkar  atychar tere sanskar me hae tere narbhachchi raj me dalit nirbal se rape bad gya  ,0,0,0
3485,book kr diya bhai,0,0,1
97,vidhaanasabha ke vishesha satra bulaaya le pemcha phasa gaya kyomka mamtrimamdala siphaaarisha raajyapaala khaaarija diya,0,0,1
3742,kya likhu han,1,0,1
1899,sabhi ka khoon  what nonesense ye des hindustan h is des me videsi akar base inhone atank bhar diya or isko loot liya nafrat ka beej bo diya,1,0,0
2155,bhai sab ko pagal samjha h kha ho,0,0,1
1464,misaaila  kilomiitara jayaada maara saka,0,0,0
383,twitter par hum bhi  saal se hai kyun suspend nahi huwe hatred aur fake videos or news post karoge to suspend to honge hi,1,0,1
447,viidiya teja phaila raha jisama daava kiya raha naaga saadha muslima piita hai deharaaduuna pulisa,1,0,0
2222,hello sallu bhai   kaise ho aaapp bhai  mei aapka badaa fan huu bhai  ,1,0,1
4545,hate karne ki bhi ek hadd hoti hai,1,0,0
4350, sardanarohit hamaare yaha culture terrorism ho raha hai hame  kya karna chahiye kya zee news koi sport karega,0,0,1
620,ab koi or dhund raha hai jo kuch time k liye tary sath theek ho or phir tujy hate krny lagy,1,1,0
2342,though i hate ijt but ye dehshat  gard wala hulya kaisa hota hay,1,1,0
3873,yrs me nikah,1,0,0
544,we pakhtoon hate  ayeshagulalai,1,1,0
79,whats wrong with sapna samjhti kya hai after hina i hate her kitna attitude hai karna kuch nahi hai bas bakwas karni hai #bb,1,1,0
3827,jinke khoon mein hai desh or deshwasiyo se gadaari wo hai congress saari,0,0,0
546,please salman sir is garib ke lye bhi time nikalen aapse milne ka apointment den,1,0,1
1877,bibi tumhaare dada hijrat kar ke aaye the tum nahi legacy nahi hai yeh k naslon tak chale gi,1,0,0
1209,kya guarantee hai ki sab questions ka answer aap hi dengekoi dusra bhi toh de sakta hai,1,0,1
2692,hows ur back pain ryt now i m tensedbtao na plz salman aap to khe rhe the ki  pm baat kroge but aap to  bhi cmnt ka reply nhi diya plz is waale ka de dena plz a request,0,0,1
1111,buuma paaya homja aisa bayaana naha diya jabaka sabuuta ke mutaabika saarsasiiovii praakritika vaayarasa hai,1,0,0
2362,naa ji  vo bhi hate karogi,0,0,1
1667,pahle apne gireban me jhanko pappu jahan rape hone ke bad neta ji bolte the ladke hain galti ho jati hai wo aapke mitra the,1,1,0
40,pervez musharraf nawaz shareef ki tarhan haramkhoor choor aur awan ka paisa lotnay wala nahe tha atleast haramkhoor nawaz shareef ko phansi do moto gang k sath,0,0,0
2710, baj gaye but rply abhi baaki hai,1,0,1
1997,bhai  minute,1,0,1
443,humara desh swach rahe ga tabhi humara india sab se uper hoga,0,0,0
2774,bhai  baj gaye hain,0,0,1
4070,kya din aa gaye court bhi ab murder and all ko just galti ho gayi aise manata he  hinsa ab aam ho gayi he iss desh me,1,0,1
2512,aap reply karenge,1,0,1
896,buuma jaamcha pata chala daava vaala posta jaamiya ke ghaayala pradarshakaara chota dikha ke kechapa,1,0,1
399,sir kabi jammu kashmir k iti k haalat toh dekho koi staff nahi koi metrial nahi aur aap skill development ki baat karte ho,1,0,0
2143,ishe pelna boltetorture kya hota  hai janna hai apko to zara balochistan pe nazar ghumao miyayeh hitler hai to woh jahannub hai https  twittercom hamidmirpak status ,1,0,0
88,vaayarala eka posta naremdra moda hata ke shivalimga chappala maara pa maara ke galata dhamga jo raha,1,0,0
3911,bhai hate nhi  jab se jindgi me playstation aya  tab se sab chhut gaya,0,0,0
3142,aur tum mata ka rape ais tara karty ho jasy tumary liya race ho,1,0,1
1868,shaheedon ki khoon ka soda ns hona tahir ul qadri ki azeem tarbeat ka nateeja hi we proud of bring qadriii,1,0,0
1374,rape kahan zyada hue hain dekh lo  pictwittercom oafywtmyii,0,0,1
3501,us ne chodo yaar kaha tha fakhar aamir ne rape kr diya,1,0,1
234,vaayarala posta daava kiya gaya viidiya jodhapura raajasthaana jaha kaamgresa sat  muula viidiya doda jamma,1,0,1
672,pichala paacha saala bhaarata ke jayaadaatara raajya kuposhana baara badha dikha raha haiisaka vajaha jaana ke padha khabara,0,0,1
4455,hate ki baat ho rahi h na,0,0,0
362,buuma paaya vaastavika ota amtima samskaara ke drishya naha,1,0,0
1242,abe selman khan muslman ke name per klneq hae ise jeene ka koi heq nahi hae,1,0,0
3810,app #kashmir mein terrorism band karo innocent kashmiris ko hr roz shaheed kr rahay ho,1,0,1
1860,y the hate towards them though kya bighaada unhone tumhaara  #jaggajasoos,1,0,0
2257,kaha ho bhaijaan,1,0,1
3529,yaar hum bhi bura haray thay lekin yeh to rape hai kyon  chintskap  virendersehwag  #pakvind #indvpak,0,0,0
4525,bigboss na akhri wqat par voting rule change kar diya aur inform bhi ab kar raha hai hate this,0,1,0
1589,soshala miidiya yuursa tasviira sheyara daava raha raajakumaara bamsala ,1,0,0
3198,i hate dudh ch malai,1,1,0
1633,faltu log hi jayenge is harami ki movie dekhne isse kya pata islam kya hai,1,0,0
801,tviita vaayarala skriinashta kaha amita shaaha muslima samudaaya vina raha unaka achcha svaastha ke,1,0,0
3947,terrorism factory bandh kar de bhai aur kuch karna nahi padega,0,0,1
3924,dear aaj bohat hate mil raha hai hume,1,1,0
1250,uttara pradesha ke mirjaaapura jaila yuvaka kariiba  saala pahala gala siima paara karaka paakistaana chala gaya,0,0,1
1651,berijgari  bhirastachar  rape  ananyay  chori  aur garibi,1,1,0
2152,meri fikr chod aajkal saare hindus aise hi baatein kar rahe hai nafrat hai mujhe islam se i hate islam,0,1,0
1958,buuma dktara raana simha baata pata laga viidiya  jula mahaaviira kaimsara samsthaana rikrda kiya,1,0,0
112,jo twitter pe support  boycott ka trend kare wo chutiye,1,0,0
1437,soshala miidiya vaayarala posta daava kiya gaya paakistaana bhaarata hamala diya baalaakota eyara straaika ke,1,0,1
399,tasviira myaammaara ke pahaada shahara kalaava jaha sabja mamda soshala distansimga abhyaasa kiya thaa,1,0,0
503, beingsalmankhan o jhandu balm aaj mera ek fauzi bhai shaheed hua jk me islamic terrorism ki goli se tu chutiya aaj tweet nhi krega jhantu,1,0,0
3192,bro ushaanza kum hate dogo,1,0,0
2276,mein apke sath jacqueline ka b fan hun,0,0,1
2833,na kro yr cmnts plz frnds,1,0,0
2791,ab to type karte kate fingariya dard hone lagi,1,0,0
1797,kaha kaisy m karna chati ho aapsy bohot sara baat,1,0,1
1277,ekela boycot kar awaiz tu kamyaab ho jayega paaka sirf tu mat ja,1,0,1
1565,kiska bhaijan kahan ka bhai jaan kutte tu ek nambar shetan     eed me hi aata he   kharab karne imman   ,0,0,0
858,mai kisi dharm ko hate nai karta koi mera dharm leke ungli karega yah kshoti karne ki kousis karega usko chorne wala nai hu,0,0,0
448,ja rahi hu ek bottle pani pine ab pandey ji khabardar jo issko kabi mere samne laye bhi,1,0,0
1160,goodluck for bajarangi bhaijaan,1,0,0
911,jo log apne hi minister ki nabalik betiyo k sath rape kar rahe hain  unhe log kaise vote kre jail me interospection krege kuchh dino me https  twittercom giniromet status ,0,1,0
3750,agar tu asli mard ka bacha hoga toh jawab jarur dena,0,0,0
1491,rss walai shadi kyo nahi kartaishaka mein ja kar mardangi khtam ho jati haitumlogo to rape thread bhi mat do woh bhi nahi hoga tumlogo sai,0,0,0
1786,#  baje ge aaaj party abhi bakiwow,1,0,1
1715,train mein rape scene dekhna ban kar dena chaiye,0,0,1
1481,shailly salman bhai online aaenge  baje dkhte tujhy rply krenhe ki mujhy p,1,0,1
4347, zaroor  agar  sureshpprabhu ko railway se hataya hate toh pictwittercom sgylsxj,1,1,1
4419, g_sandesh_ ramoslai rape gareko pani thaha hola ni,1,0,0
2909,kyoki ittana pyr tumko  krte he hum,1,0,0
904,kaamgresa raahula gaamdha kaha chiina bhaarata dhara kabja liya piiema moda chiina naama naha le,0,0,1
1989,abaara klipimga daava kiya gaya kolaka ke memsa nirma apa puurva premika ke ghara malatyaaga kiyaa bara,1,0,0
2450,sorry frnds bhai nahi aa sakte,1,0,1
1045,gracy singh or salaman khan jodi ek sath dekhana chahata hu,0,0,1
3257, nids__ nidhi aaj se tu meri dushman  hate u,1,1,0
754,hi salman ji me apka bahut bada frend hu,1,0,0
932,slman kya tm waqai musalman ho agr ho tu muslmano ke naam pr dhbba ho,1,0,0
530,buuma alagaalaga praaima taaima sho ke puura episoda mila   duusara saptaaha pura,1,0,0
1406,mast hai vai,1,0,0
990,raila loga takhata jinama moda sameta duniya ke tasviira thiim likha simdha paakistaana aajaaada chaaha,0,0,0
409,bhai jo apno se dur ho toh unka toh yahi ek zariya hai touch me rehne ka,1,0,0
1638,sucha singh langah ek hor neta rape ke case main police custody mai  kaya baat hai shame,0,0,0
17,buuma paaya vaayarala skriinashta da vaayara ke lekha krpa kiya gaya jisama smrita iiraa jeenaya ke kaaryakrama,1,0,1
4364, am is manhoos ghari of my lufe yw waqt i hate it,1,1,0
3066,kal  pm wait karna aj ka din nikal gya bevkufo girl to puri puri bevkuf hoti hai ,1,0,0
2233,aapko bachpan se hi apna best hero manaaapne na aajtak kisi comment ka reply na likesaaj sad hoon mainaap bahoot bhoot hit dolaken main ab sad hooaap mere favroute hero rahoge laken ek baar like ya comment de te to accha rehta thanku,1,0,1
718,tera abba ketly ka bola tha bhool gya ki rape ek chhoti ghatna hai bhool gya kya ,1,0,1
3767,laga liya ji,1,0,1
3261,i lv #salman ,0,0,0
150,kemdra sarakaara ke krisha kaaanuuna virodha raha kisaana chaha mahiina pradarshana taiyaara ke aae loga baata yakiina mushkila saka kisaana aamdolana mahaaraashtra chaha saala chala,0,0,0
3210,jab tk rape ke liye faansi ka kanoon nhi banta tab tk ye rape aise hi hote rahngekyunki inko naa to kanoon ka bhay hai aur na hi police ka,0,0,1
948,thnks alot sallu,1,0,0
3071,bina musalman ke hit ho jaye ga ye film samje,1,0,0
2767,aap ki mujhey ek hebbit bohot acchi lagti h dusro ki madat karna like you,1,0,0
1119,hate u use bola jata jise sab se jada love karte ho,1,0,1
1233,bhai jakaass bhai insallha super hit ,0,0,0
729,bhaijaan allah ki ibadt aap bani h bani rhe bani rhegi bajrangi bhaijaan jrur hit hogi,1,0,0
233,buuma paaya vaayarala posta vyamgya vebasaaita  chapa lekha liya gaya,1,0,1
1584,hum to taiyar hai,1,0,1
1834,hai bhai jaanapp hi ho humlogo ja bajrangi bhaijaan,0,0,1
3265,bhai film hit hoga haters ko mo thod javab denge,0,0,0
820,raju shri jaise ghatiya entertainers hote hai jo paise ko liye kisi bhi had tak kisi ko bhi bol shkte hai raju shri bhul gye ki public agar upre lati hai to niche lana bhi janti hai i hate raju shri u r a disgusting entertainer,0,1,0
2408,ma na ja ohir bhai ko post office behja ha ap ko kch snd karna k liamagar pata nhe apka adress tak nhe pata ya pir kia waja ha,1,0,1
470,i sapourt u saloo bhai i hole u r bajrangi bhaijan its going,0,0,0
586,real hero sallu bhai _,1,0,0
703,christmas wish karna haram hai  dance haram hai  music haram hai  chess haram hai  painting haram hai  biwi ke saath photo dalna haram hai par terrorism halal hai  kaffiro ki aurato ka rape karna halal hai  gareeb logo se zabardasti islam qabool karana halal hai,1,1,0
1805,agr time mile to mujhse bhi bat kar kena,0,0,1
1056,bhai is kutte ki film mat dekho kyu apna paisa haram jagah le jaa rahe ho,0,0,0
2589,plz bajrangi bhaijan ek reply plz     mai mp ke rewa saher ka rahne vala hu,1,0,0
3536,esaa kyu bolte ho aap,1,0,1
3624,uncle jaani  apne rashtra ka terrorism band karwao pehle kaafi zyada ho gaya hai aaj kal https  twittercom chintskap status ,0,0,0
456,kon rape aur aurton ko bech raha hai,1,0,1
2056,baat kaise hogi itne sare log to baat krna chahte hai,1,0,1
4163,abey haramjade tujhee kuch maloom nahi waha rape kar rahi thi tumhari fauj aur attack tumne kiya hamane jawab diya,1,1,0
144,nehara apa paalata kut ke vaayarala tasviira varsha  jabaka duusara tasviira varsha  lamdana olampiksa,1,0,0
3822,salman bhai app batao ki india me ajubaa kya kya hai ek to taj mahal hai aur dusra kya hai mujhe app ka javab chaiye app kahte ho ki my sare coments padhta ho,1,0,1
4431,i hate manu manveer i live in vashifir bhi nhi gyi inorbitin bandaro ko dekhne,1,1,0
1271,eid mobarak bhaijaan kyse ho serkhan kab aega bhai,1,0,0
1469,auramgaabaada sita auramgaabaada jaila naya naama rakha bahasa jabataba utha khada,0,0,0
2538,hiiiiiiiiiiii sallu bhai im big fan sallu bhai aapko twitter par roz mai hi massage karti ho im big fan sallu bhai reply plzzzzzz,1,0,1
266,ye hai desh ki police ke haal,0,0,1
1973,bhai sahab aayenge,0,0,1
1953, min bhai,0,0,1
180,itni energy vaala perhaps he koi pmraha ho india ka  aapkey liyye bhagvaan se prey kertey hai  sabka saath sabka vikasjai ho,1,0,0
2914, gurmeetramrahim ji ki pavan prerhna se  derasachasauda ke sewadar manavta bhai ke kaam me na to kabhi piche hate the  na to age kabhi hatenge  ayein dekhe samaj ki safayi karyo ka nazara #saintramrahim_initiative,0,0,0
920,haalaamka abhine viidiya shuuta daava naha kiya ripablika tiiva taaimsa pha imdiya daava kiya,1,0,0
3759,apni aurton ko rape se bachao,1,0,1
3768,superb sallu jaan,0,0,0
2683,bajrangi bhaijaan  b baj gaye kb aaoge bhai kl mera birthday kal ki party meri taraf se,0,0,1
1999,buuma suura krishnana baata bata unaka sira paamcha taamka aae unaka daahi haatha patta bamdha hai,1,0,0
655,jyada nhi  degree se niche nhi jata  i hate it abhi  degree hai btao i was temp in minus,1,1,0
1179,you mean hatred ke saath disbelief aa hi jata hai slowly,1,0,0
3696,shukriya bhaijaaaaan mere bday pe aj tak mila huva sabse pyara tohfa bajrangi bhaijaaaaan,1,0,0
3378,lol kashmir me to ap log holi kheel rahy han na wo bhi check kr lain k terrorism kon kr raha hai,1,0,1
3119,tum apne maa bahno ka rape iss tar karte ho ki rape rate ki race me hume bhi piche patkte ho,1,0,0
3862,bhai main apka bhot bada fan hun dil se bol raha hun bole toh apna bhai kaun sallu bhai  jumaa mubarak wishing you all the best ur new movie ,1,0,0
1247,aapki film kaisi bhi q na ho humko st day st show dekni hi hai,1,0,0
4252,bhai tumhari side hi hain hum logwe hate gauhar and bani,1,0,0
101,buuma paaya shasa yuusi alauta sauuda araba raha vaala ghata ke riyaada pulisa girataara,1,0,0
645,salu bhai dabangg  kab release kar rahe ho,1,0,0
499,ahamada patela ke baara kaha soniya gaamdha maana thiim vo ekamaatra amita shaaha puura biijepa baraabara sakshama,0,1,0
2249,are sir aj apke liye g internet pk dalwaya haiab aa bhi jao   ,1,1,1
255,hiiraamana korava janajaata aata vilupta korava bhaasha shabdakosha karja le taiyaara kiya,0,0,1
1887,kemdra sarakaara ke krisha kaaanuuna virodha raha kisaana chaha mahiina pradarshana taiyaara ke aae loga baata yakiina mushkila saka kisaana aamdolana mahaaraashtra chaha saala chala,0,0,0
2947,aapko jamane se jhin lu ittana meri aukat nhi ,0,0,0
4488,ye video nahi hatana chahiye  kyo hate jab kisi ko ye ghinauna kam karane me sharm nahi aati to kyu hate ye video,1,1,1
1892,bhai ne ek barr commitment kar di to wo fir kisiki nahi sunte,0,0,1
3094,sir humne  se bhi adik msg kiya pl  to kuch bol do aap,1,0,1
3916,toilets nhe hai tmbaray haan jabhi safe hain larkiyan toilet se bhi neech lagti hai  endians ko jabhi har  min mein  ka rape hota hai,1,0,0
211,hina ne khud shilpa ke baal kate ajj apni trun toh india dekh raha hai ek ladki dusri ladki ke baal cut kar rahi hai hate hina nd love shilp,1,0,0
2477,aayenge salllu bhai jorror ayenge,0,0,1
170,lega rhia purei takt k sath sbhi bharrt venseyo ki duaey ap k sath hai,1,0,0
689,swgat nahi karo ge hamara,0,0,0
2850,shilpa ji aap  _ravidubey jaise tuchho ko jawab mat dijiyeye log aap ke sath kabhi nahi theaap ki popularity dekh kar khali footage karne aa jate haiaap ke reply ka jawab bhi nahi diyaitne to arrogant haihate these co call cheap tv chamchas  ashanegi n all gupta s chamchas,0,1,0
3473,me aapki bhut badi fen hnu saraap aek baar muje bhi kuch riply karnap,1,0,1
1762,buuma pata laga viidiya haidaraabaada ke osamaaniya hspitala varsha  rikrda kiya gaya,1,0,0
3240,woh to filmo wala tere bhai to actual mein rape kar rahe hain pahley apney andar jhank kar daikh phir doosron ko bol,1,1,1
1397,uttara pradesha ke gorakhapura saamuuhika vivaaha kaaryakrama maam beta apaneapa jiivanasaatha chu,0,1,1
3395,eid  hum sath sath bajrangi bhaijaan,1,0,0
3504,dekho to terrorism ki bat kon kr rha hai jo khud hmare mulk me terrorist bhejta hai,1,0,1
157,ghatiya gandagi gairgujri gulchharrey udaney walo hatred pungi,1,0,0
4114,aap srk k fan nai ho oska naam q harab kr rahe ho woh world ma pyar banta hai or aap nafrat ki baat karty hobakwas na kr,1,0,0
691,ap ne kya kia h jo log itne bure coments de rhe hanmje ni ptakya ap btae ge,1,0,0
379,desh ka vikas har koi petrol or diseal ke rate bda kar hi kyu krna chahta hai,1,0,0
4066,agjdhdhdidh i hate karlie gender so much https  twittercom mtv status ,0,1,0
1093,yadi sapa ne up ko gaud liya hai  toh itni gundagardi  murdered  rape  chori kyon hoti hain  kya aap jawab denge,0,1,0
3804,sallu bhai apka fan bangladesh me plz cal + met u all news share me all time plz cal sallu bhai jai ho,0,0,0
884,tanik kaisen ho,0,0,1
1716,buuma lakshmana bhadaraga samparka kiya bata viidiya pichala saala navambara ilma gaya,1,0,1
3638,ek salman hazaaron mehamanhahahahahah sabka haal ek jaisa bolo kya hoga,1,0,0
1815,jarut karenge awashya karenge aapke fan jo hai,1,0,1
2035,uncle mera raaz hota to apko ek dictator dekhne milta ye mulle sucide kar k marte unko jindagi se nafrat ho jati,0,1,0
185,but inko aise naam rakh kar controversy create kark film ki free publicity karwana tha,1,0,0
926,sllam bhai jaan eidmubarakh,0,0,1
1919,ye to  terrorism ki jagah doosra le lega,0,0,1
2911,u r a part of godi media buddy sirf jhoot bolte raho aur haram ka khate raho le k duba do india ko sirf logo k dilo me nafrat ka zeher bharte raho aur hindu ne kya kia muslim ne kya kia isi me zindagi guzar do doob maro nadi me kood k desh ko mat dubao bhakt,1,0,0
1173,jis ke upar rape ke mukdme hai chahe wo kisi ki party ka ho wo duniya ka sabse bada haramkhor h chahae kisi party,0,1,1
2595,la bhai raid ko  aug ko dhang se rape hoga vimal sir ka,0,0,0
1155,imdiyana yuuniyana muslima liiga ke jhamda paakistaana jhamda bata viidiya kiya gaya vaayarala,1,0,0
1685,salam malikkum bhai jaan,0,0,0
670,tere naam ke ladke diban h pata nahi,1,0,0
553,buuma paaya tasviira gaura naamaka hathi sirigera karnaataka stitha taralaabaala jagadagura matha,1,0,1
467,salman bhai agar aap ne apni movie mein babbu maan ka song le liya to kam se kam  laakh fan ek din mein jyada ho jayenge,1,0,0
4551,wo bhi rape karna sikh jayenge fir  galat bat hai kaabil ki,1,0,0
705,bagaira sabuta ke phesabuka posta vaayarala i,1,0,1
1000, sumitpa  i hate patta from starting mummy pareshan ho hai is chij ko lekar nd dhaniya ab vo bi ni achi lagti waqt ke sath,0,1,0
484,buuma paaya tasviira haimdaovara samaaroha dakshina koriya koriya yuddha lada vaala chii sainika ke,1,0,1
99,buuma paaya asthaaya sadaka chaara mahiina ke traiphika ke khola gaya na  ghamta jaisa daava kiya gaya,1,0,0
1118,very true  nafrat h sach aur hindu aur bhartiya culture s inhe https  twittercom pliersnwires status ,0,0,0
296,semtrala kaaumsila pha imdiyana medisina ccim posta grejueta aayurveda stuudemta aupachaarika trenimga ke  sarjikala prakriya amjaama de ijaajata de dii,0,0,0
83,bhai ji aap ko kya karna hai birthday manaye ya nhi manayeaap apna kaam theek se toh karna sheekhojhut or jumlaa aap k khoon mai hai,1,0,1
3582,haan teri maa ki choot mein kitne rape huey the jo tu hua,1,0,0
1299,jo itna saalo se desh ka khoon piya hai uska kya  ek bottle raktadan ke badle millions bottle ka hisaab nahi karte janadeaala,1,0,0
1752,okbhai mere pass bahot sare questions hai,1,0,1
1613,is gandhi pariwar ne to bharat maa ko apni bibi maan liya jo chaho kro but kutto bibi ke sath rape nhi krte ye to jante ho,0,1,0
3594,crore aram se kama legi,1,0,0
370,dear prime minister job ke liye b kuch kriye sirf nitiya bnane se rojgar ki samsya hl nhi hogi,0,0,0
1662,paakistaana ke hajaaara musalamaana kaapha nisha bana raha hajaaara kaha aae paakistaana,0,0,0
1078,sallu bhai rocks,0,0,0
1308,kemdra sarakaara  laakha nnagaijaeteda kemdriiya karmachaara turamta bonasa de ghoshana,0,0,0
1904,kisaana presa knphremsa ghoshana  kisaana griha mamtra amita shaaha mila,0,0,0
3362,theater me ja k salman ka movie kabhi nahi dekhunga internet pe  din k baad aayega download kar k dekhung free me,0,0,0
3256,apkeliye ek accha movie hai mere pass,1,0,1
2608,q jhoot bol raha bhai,1,0,1
2555,apki ager  saal ki beti ke sath rape hota hai to aap kya karoge ap phasi ya sirf saja rape kisi ke sath bhi ho or koei bhi kre ussse sirf or sirf phasi hi milani chaiye,0,0,1
946,ise aaj rape ki bahut fikr ho rhi h uss time kha tha jb kashmiri pandito ko bhagay jaa rha tha aur aurto k saath rape ho rha,0,1,0
3744,superb floop salman khan,0,0,0
4099,matlab agar ladki cheekhe nahin to uska rape karne legal hoga waah great logic,0,1,0
2580,#pandey ji kaha h app hum log kb se wait kar rahe h ap k #swagat k liye,1,0,1
1793,aap ke whtasup no de do uspe bat karengai,1,0,1
